seqName,SPS,time,iter,openGap,extendGap,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,vrac_propre,helice_propre
BB11001,0.9337474120082816,1.363253116607666,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.19719101123595506,10.566457033157349,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.4012096774193548,40.323965549468994,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.41297935103244837,32.27345514297485,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.0,19.07380223274231,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.2851782363977486,9.246602058410645,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.2800934943513829,47.88284754753113,0,18.7,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.3906824588775635,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.20730337078651687,10.821524381637573,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.4012096774193548,42.2667019367218,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.4060963618485742,32.1508207321167,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.03894736842105263,17.314902782440186,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.33771106941838647,8.70910120010376,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.28320997273081416,45.28638029098511,1,16.9,2.8,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.3431224822998047,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.07034327518289252,11.424334287643433,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.38064516129032255,39.76307153701782,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.40462143559488695,32.06326079368591,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.030526315789473683,17.84945845603943,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.31144465290806755,8.968884706497192,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.18465134398130112,47.166728496551514,2,20.8,1.2,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.3415634632110596,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.22359550561797753,10.483862400054932,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.3971774193548387,40.52522134780884,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.396458435809149,35.56049728393555,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.0,19.52726674079895,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.3076923076923077,8.987240552902222,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.1827035449941566,45.1676607131958,3,20.3,2.4,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.3365232944488525,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.06797752808988763,11.020349502563477,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.3996776792908944,41.7501277923584,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.512291052114061,33.490970611572266,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.05157894736842105,17.018268585205078,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.2919020715630885,8.574809789657593,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.19828593689131283,45.94300055503845,4,16.9,1.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.8618556701030928,1.4017212390899658,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.17921348314606741,10.484392404556274,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.2786290322580645,41.554160594940186,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.4882005899705015,35.26224994659424,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.05473684210526316,18.850115537643433,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.3182674199623352,9.03403115272522,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.29567588624853913,47.09527921676636,5,11.6,2.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.33455228805542,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.18764044943820224,10.839835166931152,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.4012096774193548,40.28418588638306,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.5009832841691249,33.70563340187073,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.04842105263157895,17.608839750289917,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.34709193245778613,8.618929147720337,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.28165173354109857,49.332255363464355,6,15.6,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.6965131759643555,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.2151685393258427,12.163355827331543,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.4004032258064516,45.05785894393921,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.396458435809149,35.13145446777344,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.0,19.786634922027588,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.3227016885553471,9.058094263076782,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.1827035449941566,49.86364245414734,7,19.9,2.5,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.417771816253662,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.13209668353007306,10.87492847442627,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.3725806451612903,42.322582960128784,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.4028529267092966,34.83671021461487,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.05157894736842105,18.76594591140747,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.2945590994371482,9.308736324310303,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.1827035449941566,49.502748250961304,8,18.3,1.3,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11001,0.9337474120082816,1.8033113479614258,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11002,0.08206857785272625,12.66644024848938,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11003,0.40451248992747785,42.991361141204834,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11004,0.41887905604719766,34.73994016647339,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11008,0.03894736842105263,17.835004091262817,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11009,0.3088512241054614,9.237547636032104,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
BB11010,0.2824308531359564,47.586586236953735,9,15.0,1.1,1.0,2.0,4.0,1.0,1.0,1.0,4.0
