seqName,SPS,time,iter,struct_mixte,enf_mixte,openGap,extendGap,vrac_mixte,helice_mixte,enf_propre,vrac_propre,helice_propre
BB11001,0.9151138716356108,1.7336366176605225,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11002,0.17379077615298089,14.104514837265015,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11003,0.2870967741935484,52.56587338447571,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11004,0.12444663059517953,41.63669013977051,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11008,0.04105263157894737,21.094533681869507,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11009,0.3827392120075047,11.258813381195068,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11010,0.20919361121932217,57.81578326225281,0,0.0,0.9,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11001,0.9213250517598344,1.8659367561340332,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11002,0.16535433070866143,15.29633641242981,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11003,0.36088709677419356,56.23203158378601,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11004,0.41269060501721594,43.47365188598633,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11008,0.14105263157894737,20.731146812438965,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11009,0.3827392120075047,11.48953652381897,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11010,0.23100895987534087,57.631303548812866,1,0.0,0.7,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11001,0.6943866943866944,1.8970744609832764,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11002,0.14157303370786517,15.481182098388672,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11003,0.3786290322580645,53.51934027671814,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11004,0.13034923757993114,47.116336822509766,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11008,0.0431578947368421,21.60647463798523,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11009,0.3827392120075047,11.765297174453735,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11010,0.2271133619010518,61.175734996795654,2,0.0,0.4,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11001,0.9151138716356108,1.7757234573364258,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11002,0.16732172936552497,17.6659939289093,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11003,0.37056451612903224,53.1203076839447,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11004,0.28023598820059,43.112725257873535,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11008,0.04105263157894737,21.215434074401855,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11009,0.3827392120075047,11.592811584472656,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11010,0.2119205298013245,60.93164777755737,3,0.0,0.5,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11001,0.9213250517598344,2.2510018348693848,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11002,0.16310461192350956,15.431795597076416,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11003,0.2939516129032258,53.34589457511902,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11004,0.3398917855386129,43.3904767036438,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11008,0.13894736842105262,21.078068733215332,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11009,0.3302063789868668,11.563761472702026,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
BB11010,0.24308531359563693,57.42876672744751,4,0.0,2.0,19.0,2.0,2.0,4.0,1.0,1.0,4.0
