seqName,SPS,time,iter,enf_propre,helice_propre,vrac_propre,openGap,extendGap,enf_mixte,vrac_mixte,helice_mixte,struct_mixte
BB11001,0.7763975155279503,1.847914695739746,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11002,0.20854412591343452,14.231884956359863,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11003,0.2701612903225806,56.095194578170776,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11004,0.37727496310870634,44.23366737365723,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11008,0.0,25.58004403114319,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11009,0.33583489681050654,12.014960050582886,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11010,0.15660303856641994,61.53368902206421,0,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11001,0.9213250517598344,1.6604154109954834,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11002,0.21641371557054526,14.111538410186768,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11003,0.38225806451612904,52.847108364105225,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11004,0.37727496310870634,42.68205118179321,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11008,0.04105263157894737,24.392888069152832,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11009,0.3302063789868668,11.517665147781372,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11010,0.1745227892481496,61.745043992996216,1,0.5,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11001,0.9151138716356108,1.7326090335845947,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11002,0.20629567172568858,14.26394534111023,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11003,0.28346774193548385,52.29717755317688,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11004,0.36546974913920316,41.949591398239136,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11008,0.0,24.0640127658844,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11009,0.3227016885553471,10.643312692642212,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11010,0.16322555512271134,53.93049430847168,2,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11001,0.7763975155279503,1.6113126277923584,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11002,0.20854412591343452,12.924353837966919,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11003,0.2701612903225806,48.99045395851135,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11004,0.37727496310870634,39.65250635147095,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11008,0.0,22.844743013381958,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11009,0.33583489681050654,11.123589754104614,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11010,0.15660303856641994,55.26100206375122,3,1.9,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11001,0.9151138716356108,1.6373498439788818,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11002,0.20629567172568858,13.217191934585571,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11003,0.28346774193548385,50.07823848724365,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11004,0.36546974913920316,41.101866245269775,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11008,0.0,23.58674454689026,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11009,0.3227016885553471,10.630252361297607,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
BB11010,0.16322555512271134,54.51701998710632,4,0.4,0.0,0.0,19.0,2.0,1.0,2.0,4.0,1.0
