seqName,SPS,time,iter,enf_mixte,struct_mixte,vrac_mixte,helice_mixte,openGap,extendGap,enf_propre,vrac_propre,helice_propre
BB11001,0.760914760914761,1.7867817878723145,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11002,0.1484814398200225,14.958764791488647,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11003,0.23337363966142685,55.36935806274414,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11004,0.3977384464110128,45.6785101890564,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11008,0.06842105263157895,20.90162754058838,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11009,0.3545966228893058,11.109548568725586,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11010,0.24620179197506817,58.36929488182068,0,0.0,1.0,2.1,5.1,19.0,2.0,1.0,1.0,4.0
BB11001,0.760914760914761,1.703557014465332,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11002,0.14735658042744657,15.209433794021606,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11003,0.24828698105602579,53.88734674453735,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11004,0.3942969518190757,45.51808190345764,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11008,0.1368421052631579,23.194700717926025,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11009,0.3545966228893058,11.660017013549805,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11010,0.23996883521620568,61.166712522506714,1,0.0,0.8,2.3,5.7,19.0,2.0,1.0,1.0,4.0
BB11001,0.7796257796257796,1.815828561782837,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11002,0.20830993823694555,15.101170778274536,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11003,0.37459677419354837,55.20184326171875,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11004,0.4690265486725664,41.84330773353577,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11008,0.05578947368421053,21.56941819190979,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11009,0.3696060037523452,11.394309759140015,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11010,0.15426567978184652,59.095200300216675,2,0.0,0.5,1.8,3.6,19.0,2.0,1.0,1.0,4.0
BB11001,0.8295218295218295,1.8158316612243652,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11002,0.16292134831460675,16.853723526000977,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11003,0.25957275292220877,55.38325643539429,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11004,0.47148475909537857,44.213141202926636,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11008,0.14,21.23000717163086,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11009,0.3714821763602251,11.559750080108643,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11010,0.20919361121932217,59.50128197669983,3,0.0,1.3,1.4,4.6,19.0,2.0,1.0,1.0,4.0
BB11001,0.8295218295218295,1.6724746227264404,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11002,0.14341957255343082,14.379250049591064,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11003,0.34596774193548385,49.78742837905884,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11004,0.2769306443679292,40.826735496520996,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11008,0.13789473684210526,20.3842511177063,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11009,0.38461538461538464,11.017308473587036,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11010,0.15543435917413323,58.068443775177,4,0.0,0.2,2.7,5.4,19.0,2.0,1.0,1.0,4.0
BB11001,0.760914760914761,1.7065396308898926,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11002,0.14791901012373454,15.077106714248657,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11003,0.2535268037081822,51.42780542373657,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11004,0.46361848574237957,43.39148259162903,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11008,0.1368421052631579,21.223423957824707,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11009,0.3545966228893058,11.533682107925415,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11010,0.20763537202960655,58.74078845977783,5,0.0,2.0,1.8,4.8,19.0,2.0,1.0,1.0,4.0
BB11001,0.9151138716356108,1.6864867210388184,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11002,0.2240314430095452,14.409328699111938,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11003,0.37983870967741934,50.33025622367859,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11004,0.338908017707821,39.439008712768555,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11008,0.05578947368421053,20.015247583389282,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11009,0.3789868667917448,10.842842817306519,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11010,0.19322165952473705,55.4204306602478,6,0.0,0.2,1.3,3.6,19.0,2.0,1.0,1.0,4.0
BB11001,0.7671517671517671,1.6464385986328125,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11002,0.11923509561304838,14.037309408187866,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11003,0.35443548387096774,48.81686019897461,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11004,0.4611602753195674,39.83677387237549,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11008,0.13789473684210526,19.50585651397705,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11009,0.35647279549718575,10.70250654220581,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11010,0.2403583950136346,56.439377307891846,7,0.0,1.0,2.9,3.3,19.0,2.0,1.0,1.0,4.0
BB11001,0.8045738045738046,1.6584434509277344,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11002,0.19539584503088153,14.047341346740723,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11003,0.28225806451612906,50.35442852973938,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11004,0.46853490658800395,39.79783368110657,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11008,0.13578947368421052,19.76962184906006,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11009,0.35647279549718575,10.6462881565094,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11010,0.24386443319049475,55.13466477394104,8,0.0,1.2,1.9,3.2,19.0,2.0,1.0,1.0,4.0
BB11001,0.9151138716356108,1.6373817920684814,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11002,0.15523059617547807,14.874561309814453,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11003,0.375,48.8689968585968,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11004,0.3630103295622233,38.735039949417114,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11008,0.13052631578947368,19.66230273246765,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11009,0.3789868667917448,10.710492849349976,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11010,0.19283209972730814,54.6383752822876,9,0.0,0.1,2.3,6.0,19.0,2.0,1.0,1.0,4.0
BB11001,0.8295218295218295,1.633310079574585,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
BB11002,0.14341957255343082,14.049399852752686,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
BB11003,0.34596774193548385,49.00938010215759,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
BB11004,0.2769306443679292,38.89744019508362,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
BB11008,0.13789473684210526,19.732524394989014,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
BB11009,0.38461538461538464,10.754577159881592,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
