seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11002,0.1427771556550952,15.404963254928589,0,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4111961337092227,49.734089612960815,0,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4534711964549483,39.975497245788574,0,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.1431578947368421,20.885913372039795,0,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2894736842105263,10.558808088302612,0,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18620958317101674,54.43292999267578,0,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.17320627802690583,14.538676500320435,1,0.9,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.14804356595401372,47.198580265045166,1,0.9,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.2472959685349066,37.214969873428345,1,0.9,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.04736842105263158,20.239867687225342,1,0.9,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3395872420262664,10.296389102935791,1,0.9,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1971172574990261,52.5979163646698,1,0.9,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.1427771556550952,14.574797630310059,2,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4111961337092227,47.25968861579895,2,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4534711964549483,41.35704588890076,2,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.1431578947368421,20.361127376556396,2,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2894736842105263,10.21417236328125,2,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18620958317101674,58.02335071563721,2,3.6,2.0,4.0,0.0,0.0,0.0,4.0,14.3,2.9
