seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11001,0.8045738045738046,1.26436448097229,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11002,0.09786276715410573,9.968515872955322,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11003,0.3553585817888799,37.33832550048828,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11004,0.523598820058997,30.83903408050537,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11008,0.05473684210526316,15.389922142028809,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11009,0.295668549905838,8.03738021850586,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11010,0.2259446825087651,41.703937292099,0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,12.1,1.7
BB11001,0.9337474120082816,1.2112221717834473,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11002,0.19269662921348316,9.826137065887451,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11003,0.4012096774193548,37.172910928726196,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11004,0.40412979351032446,29.80930233001709,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11008,0.04842105263157895,15.137262105941772,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11009,0.36397748592870544,7.922074556350708,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11010,0.28165173354109857,42.038811922073364,1,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.0,2.1
BB11001,0.9337474120082816,1.2794301509857178,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11002,0.20730337078651687,9.893346309661865,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11003,0.4012096774193548,38.582634925842285,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11004,0.4060963618485742,31.61610507965088,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11008,0.03894736842105263,16.151992559432983,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11009,0.33771106941838647,7.853897571563721,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11010,0.28320997273081416,40.855674743652344,2,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.1,2.7
BB11001,0.9337474120082816,1.2252345085144043,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11002,0.19101123595505617,9.571485757827759,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11003,0.4012096774193548,37.85770535469055,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11004,0.4139626352015733,33.07295370101929,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11008,0.0,17.67203402519226,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11009,0.33771106941838647,8.597861528396606,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11010,0.28320997273081416,44.35498905181885,3,0.0,2.0,4.0,1.0,0.0,0.0,4.0,17.9,2.9
BB11001,0.9337474120082816,1.2222516536712646,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11002,0.07874015748031496,9.673733234405518,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11003,0.29653505237711525,36.33267426490784,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11004,0.43559488692232057,29.437279224395752,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11008,0.04736842105263158,14.81340479850769,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11009,0.2919020715630885,7.852919816970825,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11010,0.2991819244253993,40.92088842391968,4,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.7,1.6
BB11001,0.9337474120082816,1.2162353992462158,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.2157303370786517,10.474894523620605,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.39919354838709675,36.87706232070923,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.40658800393313665,29.851435661315918,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.04842105263157895,15.224496841430664,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.34709193245778613,7.923082590103149,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.28320997273081416,40.80651378631592,5,0.0,2.0,4.0,1.0,0.0,0.0,4.0,14.3,2.9
BB11001,0.9337474120082816,1.2323040962219238,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11002,0.06797752808988763,10.172059059143066,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11003,0.40128928283642223,36.59735989570618,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11004,0.5142576204523107,29.49846839904785,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11008,0.05157894736842105,15.918339490890503,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11009,0.2919020715630885,7.823787450790405,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11010,0.19828593689131283,40.630117893218994,6,0.0,2.0,4.0,1.0,0.0,0.0,4.0,16.8,1.4
BB11001,0.9337474120082816,1.2142302989959717,7,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.3,1.7
BB11002,0.06797752808988763,9.996622800827026,7,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.3,1.7
BB11003,0.3996776792908944,36.72568440437317,7,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.3,1.7
BB11004,0.42133726647000985,29.678924560546875,7,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.3,1.7
BB11008,0.03894736842105263,15.41603946685791,7,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.3,1.7
BB11009,0.2919020715630885,7.932101011276245,7,0.0,2.0,4.0,1.0,0.0,0.0,4.0,15.3,1.7
