seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11002,0.18524774774774774,16.335479259490967,0,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4064516129032258,54.27050161361694,0,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.27594687653713723,39.65205955505371,0,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,20.701067209243774,0,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3007518796992481,9.727877616882324,0,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18776782236073236,55.220399618148804,0,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.19382022471910113,13.726489067077637,1,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.12272910779168349,48.37470769882202,1,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4028529267092966,39.75071692466736,1,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,19.64528512954712,1,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3921200750469043,10.390664100646973,1,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1889365017530191,54.76465320587158,1,1.1,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.1580427446569179,14.341148376464844,2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4241935483870968,48.45991015434265,2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.382685686178062,42.10202121734619,2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.06210526315789474,19.893944025039673,2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2593984962406015,9.808090925216675,2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1819244253992988,56.92345952987671,2,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.19189645469893077,14.737194538116455,3,3.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4149193548387097,51.94818663597107,3,3.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.21003443187407772,40.96703505516052,3,3.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.08526315789473685,21.650625467300415,3,3.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3176691729323308,10.122455358505249,3,3.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18854694195559019,55.2720308303833,3,3.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15570545250140527,14.059426307678223,4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.36008064516129035,48.49500370025635,4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.2808657156910969,38.83230423927307,4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
