seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11001,0.927536231884058,1.752161979675293,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11002,0.1842696629213483,14.655096054077148,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11003,0.3096774193548387,52.548906087875366,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11004,0.3497294638465322,42.558045387268066,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11008,0.056842105263157895,20.742510080337524,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11009,0.3696060037523452,11.435065984725952,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11010,0.17413322945072068,58.00547552108765,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11001,0.7463617463617463,1.789327621459961,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11002,0.19269662921348316,14.4511079788208,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11003,0.2717741935483871,51.692667961120605,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11004,0.4072798819478603,42.11523079872131,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11008,0.16210526315789472,21.090799808502197,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11009,0.3295668549905838,11.460297346115112,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11010,0.25048694974678615,58.130165815353394,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11001,0.7130977130977131,1.7416300773620605,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11002,0.19269662921348316,14.492253303527832,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11003,0.2657258064516129,51.5744411945343,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11004,0.40678799803246435,41.687562465667725,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11008,0.06947368421052631,20.86938500404358,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11009,0.3295668549905838,11.568788051605225,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11010,0.25048694974678615,57.99624300003052,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11001,0.7463617463617463,1.7637178897857666,3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
BB11002,0.19269662921348316,14.514541387557983,3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2.9
