seqName,SPS,time,iter,extendGap,struct_propre,openGap,vrac_mixte,struct_mixte,enf_mixte,helice_propre,enf_propre,helice_mixte
BB11008,0.15578947368421053,21.74867606163025,0,2.9,0.7,14.3,0.0,0.0,0.0,1.6,0.0,0.0
BB11003,0.40524193548387094,53.053566694259644,0,2.9,0.7,14.3,0.0,0.0,0.0,1.6,0.0,0.0
BB11004,0.40462143559488695,43.13407850265503,0,2.9,0.7,14.3,0.0,0.0,0.0,1.6,0.0,0.0
BB11010,0.03467082197117258,59.65791368484497,0,2.9,0.7,14.3,0.0,0.0,0.0,1.6,0.0,0.0
BB11009,0.054409005628517824,11.589031457901001,0,2.9,0.7,14.3,0.0,0.0,0.0,1.6,0.0,0.0
BB11002,0.08426966292134831,14.588024377822876,0,2.9,0.7,14.3,0.0,0.0,0.0,1.6,0.0,0.0
BB11008,0.0,22.590120792388916,1,2.9,2.0,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11003,0.2955645161290323,53.15525150299072,1,2.9,2.0,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11004,0.19370698131760078,42.39712715148926,1,2.9,2.0,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11010,0.0218153486560187,59.76760125160217,1,2.9,2.0,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11009,0.3433395872420263,11.002485752105713,1,2.9,2.0,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11002,0.1133032694475761,15.999626874923706,1,2.9,2.0,14.3,0.0,0.0,0.0,2.3,0.0,0.0
BB11008,0.0,22.505234003067017,2,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11003,0.24667472793228537,53.654576539993286,2,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11004,0.19380226266601083,42.36909508705139,2,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11010,0.02103622906116089,59.77651238441467,2,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11009,0.40337711069418386,11.128384351730347,2,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11002,0.08038223721191681,15.509952545166016,2,2.9,1.7,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11008,0.0,22.62338662147522,3,2.9,2.0,14.3,0.0,0.0,0.0,1.9,0.0,0.0
