seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11001,0.8045738045738046,1.7715842723846436,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11002,0.16582349634626195,15.882004737854004,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11003,0.25887096774193546,53.90105485916138,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11004,0.39233038348082594,42.80752968788147,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11008,0.06315789473684211,20.77362298965454,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11009,0.3677298311444653,10.90846300125122,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11010,0.24464355278535255,57.72112774848938,0,0.0,2.3,4.0,0.7,0.0,0.0,0.0,14.3,2.9
BB11001,0.8045738045738046,1.719573974609375,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11002,0.15064643057897695,16.598257064819336,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11003,0.255241935483871,52.619263887405396,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11004,0.31234628627643873,42.58097577095032,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11008,0.056842105263157895,20.94005036354065,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11009,0.37335834896810505,11.49026083946228,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11010,0.21425788858589795,57.83406949043274,1,0.0,1.7,3.4,0.2,0.0,0.0,0.0,14.3,2.9
BB11001,0.8045738045738046,1.7357227802276611,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11002,0.10786516853932585,16.059863090515137,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11003,0.255241935483871,51.56983518600464,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11004,0.44051130776794495,41.67813968658447,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11008,0.06,20.964537382125854,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11009,0.3771106941838649,11.361387252807617,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11010,0.22165952473704714,58.7733588218689,2,0.0,1.2,2.7,1.0,0.0,0.0,0.0,14.3,2.9
BB11001,0.7920997920997921,1.7205917835235596,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
BB11002,0.17144463181562675,15.86651873588562,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
BB11003,0.2564516129032258,51.96052432060242,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
BB11004,0.372173058013766,42.29048490524292,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
BB11008,0.14,20.72949481010437,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
BB11009,0.3602251407129456,11.295044183731079,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
BB11010,0.2107518504090378,59.28933763504028,3,0.0,2.4,2.7,1.7,0.0,0.0,0.0,14.3,2.9
